t,n,e
1637919563.802478,590711.3905108143,6136607.851519992
1637919564.8015223,590711.2465504791,6136606.835543927
1637919565.8014774,590711.1961199198,6136605.587717574
1637919566.801567,590710.4009903263,6136604.480430692
1637919567.8015223,590710.8042813677,6136603.6760817235
1637919569.8013878,590710.7555604043,6136600.803011227
1637919609.801636,590722.2934001661,6136545.981095151
1637919610.801596,590721.8012576796,6136545.247393576
1637919611.8014858,590720.4294845867,6136544.740512406
1637919612.8015513,590719.4331668322,6136544.475123742
1637919613.8015952,590718.6032295744,6136544.135231569
1637919614.8015099,590717.4082240937,6136543.665381673
1637919615.8015475,590716.476036513,6136543.0562185915
1637919616.8011725,590715.3474486101,6136542.131320691
1637919617.8015938,590714.232679346,6136541.15104693
1637919618.8015687,590713.3857868564,6136540.710618764
1637919619.8015537,590712.5200425816,6136540.570368544
1637919620.8015401,590711.3702469142,6136540.368618909
1637919621.8015587,590710.4422695613,6136540.171429513
1637919622.8016,590709.1344894669,6136539.944168672
1637919623.8014355,590708.1741373707,6136539.779710381
1637919624.8015954,590706.8937663737,6136539.452825212
1637919625.801553,590705.8707236032,6136539.253682598
1637919626.801547,590704.9160227301,6136539.122737337
1637919627.801559,590703.754237241,6136538.887347102
1637919628.8016126,590702.5711513642,6136538.762839823
1637919629.8015559,590701.613705626,6136538.765423439
1637919630.8013015,590700.6745867439,6136538.801780114
1637919631.8014312,590699.3497848449,6136538.78568123
1637919632.8014781,590698.3873737564,6136538.721371197
1637919633.8013458,590697.1535863598,6136538.59582324
1637919634.8014495,590696.2355389094,6136538.532425532
1637919635.8014877,590695.3059596343,6136538.413130755
1637919636.801467,590694.0123885954,6136538.4199394835
1637919637.8013973,590692.6869005155,6136538.4372246405
1637919638.8014045,590691.7127287495,6136538.32814616
1637919639.8015158,590690.4080832476,6136538.256803998
1637919640.8016455,590689.4465867436,6136538.14798653
1637919641.8015907,590688.5151777233,6136538.117711963
1637919642.8015153,590687.3596633164,6136538.194152279
1637919643.801576,590686.072658652,6136538.189966236
1637919644.8015518,590685.104138338,6136538.114401507
1637919645.801551,590684.1353893181,6136538.049964338
1637919646.8015172,590682.853644189,6136537.78985025
1637919647.8016016,590681.9186415039,6136537.625918664
1637919648.801561,590680.6031497429,6136537.465300141
1637919649.8015265,590679.6831089457,6136537.190356043
1637919650.8015003,590678.596916546,6136536.978790023
1637919651.8015397,590677.800427715,6136536.862233946
1637919652.8015583,590677.0328832755,6136536.879857366
1637919653.8015416,590675.9430321527,6136536.846329558
1637919654.8015432,590675.0449118124,6136536.738817579
1637919655.8015456,590673.8523505819,6136536.458274684
1637919656.801595,590672.9426980319,6136536.294865934
1637919657.8015501,590672.025564502,6136536.186963878
1637919658.801555,590670.7143519047,6136536.126624668
1637919659.8015897,590669.4357422234,6136536.02242758
1637919660.801545,590668.480125247,6136535.935999611
1637919661.8015497,590667.2214430473,6136535.787684449
1637919662.8015552,590666.2420757314,6136535.622844642
1637919663.8015912,590665.2364431222,6136535.50199357
1637919664.8015964,590663.8317655604,6136535.361811689
1637919665.801566,590662.7681792633,6136535.284298616
1637919666.8015587,590661.3664736609,6136534.999462001
1637919667.8015947,590660.4178798912,6136534.87978395
1637919668.801592,590658.9908233254,6136534.594427245
1637919669.8014977,590657.8140730717,6136534.470062196
1637919670.8015547,590656.2824128771,6136534.338405904
1637919671.801528,590655.1054338943,6136534.225168931
1637919672.8015592,590653.9524339497,6136534.179217171
1637919673.8015544,590652.3605341014,6136534.20217329
1637919674.8015022,590650.6819641679,6136534.123161075
1637919675.801549,590649.4531406559,6136534.064520766
1637919676.8015962,590648.0457192287,6136534.057872095
1637919677.8015513,590646.2636891303,6136534.076924587
1637919678.8015375,590645.1147409941,6136534.14237881
1637919679.8008401,590643.6174492696,6136534.18954563
1637919680.8015978,590642.4879714003,6136534.233136406
1637919681.8015327,590640.9354692363,6136534.190113672
1637919682.801616,590639.7580328102,6136534.099135492
1637919683.80158,590638.2489800843,6136534.101534377
1637919684.800658,590637.1333204432,6136534.08975014
1637919685.80154,590635.680392604,6136534.137830904
1637919686.8016336,590634.5518290781,6136534.136914313
1637919687.8013968,590633.3481276471,6136534.08992654
1637919688.8015387,590631.7062123282,6136534.078466676
1637919689.801544,590630.5025108748,6136534.031479679
1637919690.8015578,590628.7223093715,6136533.961520466
1637919691.8015556,590627.0568716202,6136533.8605228765
1637919692.8015583,590625.9147186058,6136533.903857564
1637919693.801558,590624.859921917,6136534.01577889
1637919694.801546,590623.3015390678,6136533.950377508
1637919695.8015485,590622.021556917,6136533.912958268
1637919696.801332,590620.5480775237,6136533.72684906
1637919697.8015509,590619.6220911499,6136533.741228599
1637919698.8015938,590618.3233244224,6136533.692292622
1637919699.801543,590617.3280806385,6136533.682986277
1637919700.8015325,590616.1331697665,6136533.825428432
1637919701.801551,590615.2544572867,6136534.007760309
1637919702.8015475,590614.508836083,6136534.192825429
1637919703.8015292,590613.9123486379,6136534.525669697
1637919704.8015602,590613.5177528838,6136534.907188068
1637919705.8015575,590612.9105864428,6136535.451321957
1637919706.801554,590612.4302339043,6136535.686362872
1637919707.801552,590611.7124772714,6136535.749548192
1637919708.8015044,590611.1086304848,6136535.514507602
1637919709.8015418,590610.1480459222,6136535.36119804
1637919710.801574,590609.3993464494,6136535.078655072
1637919711.8016,590608.3752164991,6136534.623475941
1637919712.8015862,590607.6727084165,6136534.252825437
1637919713.8015573,590606.9862429467,6136534.027220993
1637919714.8015466,590605.9376159176,6136533.838708409
1637919715.80155,590605.0847713462,6136533.687612232
1637919716.8015947,590603.9499299368,6136533.37487742
1637919717.8015535,590603.0658537813,6136533.200876282
1637919718.801549,590601.8721452442,6136532.975989639
1637919719.8015823,590601.0095356693,6136532.991674365
1637919720.8013816,590600.0074971981,6136533.004496496
1637919721.8015556,590598.5957350322,6136533.209283239
1637919722.801556,590597.0792024763,6136533.267202828
1637919723.8015513,590595.9771320123,6136533.21117984
1637919724.801545,590594.9635605568,6136533.168106134
1637919725.801555,590593.6528036054,6136533.085535138
1637919726.8015866,590592.6913042254,6136532.976738785
1637919727.8015964,590591.5195780095,6136532.607589747
1637919728.8016317,590590.7375894682,6136532.402290845
1637919729.801552,590589.7210480794,6136532.503873888
1637919730.8015268,590588.9998647807,6136532.733973148
1637919731.80159,590588.359243867,6136533.054782736
1637919732.8015542,590587.7993552564,6136533.766871168
1637919733.8015218,590587.4842932853,6136534.907003251
1637919734.8015468,590587.4535715302,6136535.785803673
1637919735.801566,590587.2835909126,6136536.962310289
1637919736.8015473,590587.2934080019,6136537.719490508
1637919737.8013983,590587.5120812057,6136538.803787525
1637919738.8014922,590587.8693277928,6136539.62376042
1637919739.8007214,590588.34088068,6136540.434947954
1637919740.8015437,590589.5178004866,6136540.85986303
1637919741.801593,590590.0515938231,6136540.492332326
1637919742.8015466,590590.1377560244,6136539.692594361
1637919743.8012009,590589.7129038352,6136539.695004279
1637919744.8015764,590589.8139019684,6136540.64330112
1637919745.8015466,590590.3959360177,6136541.323172564
1637919746.8015468,590591.3917456493,6136541.922482616
1637919747.8015573,590593.1227240182,6136542.536886247
1637919748.801595,590594.8120797364,6136543.016851534
1637919749.8015542,590596.1214629725,6136543.166187002
1637919750.8015406,590597.2423747117,6136542.922031851
1637919751.8015797,590598.1503784099,6136542.239356043
1637919752.801546,590598.7618829054,6136541.483800502
1637919753.8015895,590599.9620457671,6136541.085424623
1637919754.8015234,590600.9490628808,6136541.495311654
1637919755.8015606,590601.8046975175,6136542.43683925
1637919756.8015125,590602.2481552316,6136543.381035982
1637919757.801531,590602.873289011,6136544.74084858
1637919758.8015053,590603.6828505534,6136545.147092607
1637919759.8015857,590604.9410746931,6136545.317644354
1637919760.8015134,590605.7434442068,6136545.456572111
1637919761.8014119,590606.5548931467,6136545.462101953
1637919762.8015575,590607.5616671089,6136545.527302916
1637919763.8015397,590608.6861147041,6136545.728504922
1637919764.8015022,590609.5842344107,6136545.8360033985
1637919765.8015535,590610.43622269,6136545.719913948
1637919766.8015115,590611.5433168852,6136545.531138892
1637919767.8014293,590612.2710052663,6136545.601742038
1637919768.8014505,590613.4317109968,6136545.581048983
1637919769.80151,590614.400579834,6136545.022078789
1637919770.8015575,590615.2710169194,6136544.316370904
1637919771.801517,590615.5227558597,6136544.0988996755
1637919772.8015501,590616.0497563988,6136543.753496651
1637919773.8015544,590617.1541092332,6136543.698251187
1637919774.8015482,590618.1631079337,6136543.963876998
1637919775.8015542,590619.5785701217,6136544.505019387
1637919776.801561,590620.7195776883,6136544.517319833
1637919777.801563,590622.1311089834,6136544.323667539
1637919778.8016012,590623.1135076096,6136544.032146093
1637919779.8015661,590624.4315739562,6136543.75865071
1637919780.8015454,590625.3478538642,6136543.599356342
1637919781.801543,590626.6835622767,6136543.393016209
1637919782.8016,590627.6455158384,6136543.479565301
1637919783.8016448,590628.6801546804,6136543.4228909025
1637919784.8015532,590629.9991357754,6136543.104887783
1637919785.801596,590631.204267665,6136542.773414642
1637919786.8015895,590632.7349061366,6136542.337307123
1637919787.8015983,590633.8320696001,6136542.014749113
1637919788.8015752,590635.4484646986,6136541.7251205
1637919789.8015213,590636.6392601487,6136541.782975859
1637919790.8015413,590637.9864401432,6136541.944232177
1637919791.80156,590638.9739731017,6136542.02017711
1637919792.8015435,590640.2224931483,6136542.045823026
1637919793.8014565,590641.2177351551,6136542.055134553
1637919794.8015525,590642.4456421799,6136542.158281985
1637919795.8015578,590643.4904426062,6136542.224272259
1637919796.8015356,590644.7681365466,6136542.372971236
1637919797.8015747,590645.6359394572,6136542.413062012
1637919798.8015606,590646.4797632074,6136542.385868102
1637919799.8016157,590647.590683247,6136542.319633092
1637919800.80159,590648.3502886775,6136542.379765804
1637919801.8015623,590649.6374574818,6136542.684509459
1637919802.8015554,590650.5911814714,6136543.171648094
1637919803.801506,590651.393195474,6136543.945103403
1637919804.8013911,590651.4213917601,6136544.424360572
1637919805.801526,590650.8331716958,6136545.280575834
1637919806.8015475,590650.0820644381,6136545.7326913
1637919807.8015568,590649.238509711,6136546.672717663
1637919808.8015404,590649.4659796455,6136546.7107867785
1637919809.801537,590649.5879953103,6136546.635369077
1637919810.8015323,590649.5374596914,6136546.934896105
1637919811.8016043,590650.2098742649,6136547.227010908
1637919812.8015704,590650.8535722154,6136547.373819292
1637919813.8015618,590651.7157853569,6136547.068703082
1637919814.8015475,590652.5922741429,6136546.685956002
1637919815.8015504,590653.7399740489,6136546.063875941
1637919816.8015573,590654.5795169896,6136545.9364072485
1637919817.80154,590655.51023855,6136546.000056709
1637919818.8015318,590656.4283481949,6136545.751750003
1637919819.801528,590657.3004940386,6136545.580423468
1637919820.8015556,590658.6920995096,6136545.430901626
1637919821.8015416,590659.712005628,6136545.474120214
1637919822.8015764,590660.8837869641,6136545.531591497
1637919823.8015473,590662.0771971067,6136546.07931747
1637919824.8014512,590663.2690065673,6136546.70493521
1637919825.801572,590664.025181668,6136546.931980852
1637919826.8016489,590664.9451572492,6136547.518617659
1637919827.8015819,590665.5443629782,6136548.287908581
1637919828.8015933,590666.2329174475,6136549.337336595
1637919829.801589,590666.5179194735,6136550.27828442
1637919830.8015604,590666.7616303663,6136551.685929771
1637919831.8015578,590667.0144865769,6136552.648481222
1637919832.8015857,590667.0950829566,6136553.663153434
1637919833.801555,590666.964479185,6136554.773674454
1637919834.801431,590666.6865733407,6136555.647395855
1637919835.801426,590666.3567590951,6136556.887408215
1637919836.8015554,590666.1603283002,6136557.807331914
1637919837.8015096,590666.1349497443,6136559.042467546
1637919838.8015306,590666.10352634,6136559.954649643
1637919839.801543,590666.0138568588,6136561.232992464
1637919840.8015492,590665.8669842002,6136562.209594686
1637919841.801541,590665.6334424152,6136563.084227701
1637919842.801547,590665.1193802763,6136564.342718473
1637919843.8015578,590664.5094034754,6136565.332069451
1637919844.8015616,590663.7577127623,6136566.429829216
1637919845.8015506,590663.0336592131,6136567.416836483
1637919846.8015475,590662.2004945511,6136568.468394302
1637919847.8015578,590661.7648356002,6136569.3054785915
1637919848.8015723,590661.1156274806,6136570.661381455
1637919849.801559,590660.7079990826,6136571.677154491
1637919850.8015747,590660.2945915157,6136573.282807238
1637919851.801592,590659.9926454533,6136574.40094009
1637919852.801542,590659.7277469866,6136575.876059595
1637919853.8015947,590659.6039403019,6136576.964456357
1637919854.8015392,590659.3162701869,6136578.004958238
1637919855.801535,590659.0020429237,6136579.412272008
1637919856.801592,590658.7589012583,6136580.754254024
1637919857.8015437,590658.581257071,6136581.685696046
